GraphID,defenceInDepth,behavioralDefender,minCut,riskBasedDefence,adjacentNodesDefence,inDegreeNodesDefence,MarkovBlanketDefence,PRCentralityWithMarkovBlanket,PRCentralityWithAdjacentNodes,PRCentralityWithInDegreeNodes,PRCentralityWithMinCutEdges
HG2_rand,18.80636538,19.68391569,23.27976408,19.71585541,30.21723607,36.52635811,28.91632097,21.59008351,28.6147888,33.22943913,22.20763199
e_commerce_rand,14.46546727,13.67005565,22.42528006,13.87093084,42.62465793,42.62465793,42.62465793,28.67017441,37.11500997,37.11500997,19.04033149
SCADA_rand,22.11992169,24.86271533,30.64591381,24.43172823,26.4193255,36.52635811,26.89377827,20.1832039,25.94832362,34.12412317,36.88219971
ASFS3_rand,1.2605066,1.283903965,3.676118159,1.299923508,2.237914659,3.504233453,2.629555081,1.582899046,2.245373249,3.341784125,3.480560382
ABSNP_rand,3.448065195,3.576005103,7.932609577,3.700977643,5.708796896,9.030000555,6.850489432,7.801207029,11.3368774,11.4677521,8.382618344
DER_rand,14.46546727,14.92999017,14.00709911,15.19570981,31.48910238,42.62465793,30.73234978,27.65408466,37.4022096,52.41044883,14.7557972
VOiP_rand,13.31221002,15.35163015,25.58886793,15.69043934,46.47385715,46.47385715,46.47385715,32.39570652,44.22652231,44.22652231,21.22804101
ASS2009_rand,1.145573805,1.185558191,6.460167368,1.227163921,2.601940476,4.745428966,3.144980462,3.656049952,4.546282108,5.837413121,7.346604453
HG1_rand,39.34693403,41.66725391,47.75920704,42.6276729,52.37565708,56.54017915,43.97796922,53.25031557,60.64224033,70.51444339,70.86672012
AWS03_rand,2.287668071,2.377375266,11.47410519,2.456700506,4.10636976,7.59390514,4.817621431,3.987705532,5.038868429,5.40703468,6.728246677
